"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"biobert_v1.0_pubmed.REDUCE_MEAN",0.513274993272905,0.524433636323155,0.518794319481825,-0.0305646468375177,-0.0363507665500066,-0.0332075462327233,0.603489375681152,0.632803101700994,0.617798709870472,0.367795161039858
"biobert_v1.0_pubmed.REDUCE_MEAN_MAX",0.50873907426016,0.508101938893146,0.508420306967534,-0.0296326313332272,-0.0364272909228247,-0.0326805253630279,0.566742529538037,0.616473139758945,0.590562744705416,0.355434175436641
"biobert_v1.0_pubmed.REDUCE_MAX",0.487596034009577,0.475034920378456,0.481233523889412,-0.0291824673382793,-0.0366045246233318,-0.0324748194864102,0.527094792596622,0.593400420899086,0.55828577938276,0.335681494595254
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.REDUCE_MEAN",0.463700592985899,0.490161771078107,0.476564151120413,-0.019087273271011,-0.0372875027143877,-0.0252494751939207,0.51863093406462,0.513747335695799,0.516177584107723,0.322497420011405
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.REDUCE_MEAN_MAX",0.477445958576606,0.501794566259719,0.489317550938669,-0.0265474678371439,-0.036986672082783,-0.0309094445524305,0.487684997293602,0.50738879882667,0.497341817154394,0.318583307846878
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.REDUCE_MAX",0.472809165778713,0.504836804253874,0.48829837301065,-0.0283505406027464,-0.0369338485784693,-0.0320779465618669,0.468120748573222,0.485250405545509,0.476531688856057,0.31091737176828
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.LAST_TOKEN",0.392032558907941,0.387008818258462,0.389504490489716,-0.0346169111942508,-0.0384568133326953,-0.0364359720424786,0.412666031866031,0.404922800701204,0.408757748935383,0.25394208912754
"biobert_v1.0_pubmed.FIRST_TOKEN",0.315368577193602,0.354477956538782,0.333781554939848,-0.0300961414477901,-0.0368308834083124,-0.0331246601529625,0.367992834058002,0.440851644364558,0.401140763982792,0.233932552923226
"biobert_v1.0_pubmed.LAST_TOKEN",0.245938391539122,0.237975301946764,0.241891328039185,-0.0344889331084673,-0.038836453224768,-0.0365338092145049,0.292952375769161,0.36011420480166,0.323079805286188,0.176145774703623
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.FIRST_TOKEN",0.100381038951279,0.129334272270336,0.113033028172676,-0.0226746505571746,-0.0407542872281571,-0.0291377801322376,0.132031991322597,0.141825987810854,0.13675385797568,0.073549702005373
