"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"biobert_v1.0_pubmed.REDUCE_MEAN",0.513,0.524,0.519,-0.031,-0.036,-0.033,0.603,0.633,0.618,0.368
"biobert_v1.0_pubmed.REDUCE_MEAN_MAX",0.509,0.508,0.508,-0.03,-0.036,-0.033,0.567,0.616,0.591,0.355
"biobert_v1.0_pubmed.REDUCE_MAX",0.488,0.475,0.481,-0.029,-0.037,-0.032,0.527,0.593,0.558,0.336
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.REDUCE_MEAN",0.464,0.49,0.477,-0.019,-0.037,-0.025,0.519,0.514,0.516,0.322
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.REDUCE_MEAN_MAX",0.477,0.502,0.489,-0.027,-0.037,-0.031,0.488,0.507,0.497,0.319
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.REDUCE_MAX",0.473,0.505,0.488,-0.028,-0.037,-0.032,0.468,0.485,0.477,0.311
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.LAST_TOKEN",0.392,0.387,0.39,-0.035,-0.038,-0.036,0.413,0.405,0.409,0.254
"biobert_v1.0_pubmed.FIRST_TOKEN",0.315,0.354,0.334,-0.03,-0.037,-0.033,0.368,0.441,0.401,0.234
"biobert_v1.0_pubmed.LAST_TOKEN",0.246,0.238,0.242,-0.034,-0.039,-0.037,0.293,0.36,0.323,0.176
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.FIRST_TOKEN",0.1,0.129,0.113,-0.023,-0.041,-0.029,0.132,0.142,0.137,0.074
