"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"stanf_skipgram_defaultchar200dim.Min",0.741271667944377,0.739197566009563,0.740233164093405,0.734301220402707,0.657575076182606,0.693823412514295,0.768053653308602,0.740466438326241,0.75400779381405,0.729354790140583
"stanf_skipgram_defaultchar200dim.Max",0.711231656651888,0.734468542592905,0.722663355210064,0.741886303062355,0.656386062885772,0.696522138940769,0.764265175031223,0.746981102707215,0.755524300195304,0.724903264782046
"bioc_skipgram_defaultchar.Min",0.687650814843482,0.66327414929602,0.675242550600948,0.732348615402265,0.645068754403563,0.685943446746731,0.628409701097755,0.634120427582187,0.631252148847406,0.664146048731695
"BioWordVec_extrinsic.Max",0.644866597592126,0.635532553329515,0.640165553108403,0.735396772093986,0.647824588724646,0.688838569047641,0.600064315677961,0.634137504028795,0.616630572609561,0.648544898255202
"bioc_skipgram_defaultchar.Max",0.655672820018511,0.639532644474305,0.647502167018057,0.708607584035748,0.610555474458904,0.655937470186333,0.62389307801345,0.642868447230258,0.633238642487267,0.645559426563886
"BioWordVec_extrinsic.Min",0.626356275814507,0.566277963268507,0.594803913094764,0.736886595319456,0.654216905890381,0.693095327504712,0.634749746213889,0.633653264792838,0.63420103157217,0.640700090723882
"bioc_skipgram_defaultchar.Average",0.566657800846583,0.598844970390098,0.582306936274765,0.690522680008889,0.643724696458884,0.666302981630683,0.587567682713736,0.689246856471557,0.634358657183099,0.627656191696182
"bioc_skipgram_defaultchar.Sum",0.566657800846583,0.598844970390098,0.582306936274765,0.690522680008889,0.643724696458884,0.666302981630683,0.587567682713736,0.689246856471557,0.634358657183099,0.627656191696182
"stanf_skipgram_defaultchar200dim.Average",0.571314170706909,0.597085894163774,0.583915805418455,0.689206036590881,0.645954500061611,0.666879717583174,0.571796652074144,0.681564894990304,0.621874073031031,0.624223198677553
"stanf_skipgram_defaultchar200dim.Sum",0.571314170706909,0.597085894163774,0.583915805418455,0.689206036590881,0.645954500061611,0.666879717583174,0.571796652074144,0.681564894990304,0.621874073031031,0.624223198677553
"BioWordVec_extrinsic.Average",0.553762424378907,0.590290558604552,0.571443343416486,0.687289556877768,0.642940545484816,0.664375767500958,0.599490787220467,0.673385277065044,0.634293127472694,0.623370746130046
"BioWordVec_extrinsic.Sum",0.553762424378907,0.590290558604552,0.571443343416486,0.687289556877768,0.642940545484816,0.664375767500958,0.599490787220467,0.673385277065044,0.634293127472694,0.623370746130046
"BioNLP2016_PubMed.shuffle.win.2.Average",0.441134917205597,0.513318925235598,0.47449733347964,0.683659053675516,0.622887841813687,0.651860126797644,0.546700318607178,0.658206755522853,0.597293933581649,0.574550464619644
"BioNLP2016_PubMed.shuffle.win.2.Sum",0.441134917205597,0.513318925235598,0.47449733347964,0.683659053675516,0.622887841813687,0.651860126797644,0.546700318607178,0.658206755522853,0.597293933581649,0.574550464619644
"BioNLP2016_PubMed.shuffle.win.2.Max",0.441605960878152,0.500547549893798,0.469233047924309,0.710503003170652,0.63229697439572,0.669122589677241,0.547832853247876,0.613828730027069,0.578956125291197,0.572437254297582
"BioNLP2016_PubMed.shuffle.win.2.Min",0.402528011302977,0.431871286263362,0.416683692101571,0.72081539109152,0.642230498840341,0.679257582759219,0.588600608623379,0.643608833165336,0.614876883862503,0.570272719574431
