"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"stanf_skipgram_defaultchar200dim.Min",0.741,0.739,0.74,0.734,0.658,0.694,0.768,0.74,0.754,0.729
"stanf_skipgram_defaultchar200dim.Max",0.711,0.734,0.723,0.742,0.656,0.697,0.764,0.747,0.756,0.725
"bioc_skipgram_defaultchar.Min",0.688,0.663,0.675,0.732,0.645,0.686,0.628,0.634,0.631,0.664
"BioWordVec_extrinsic.Max",0.645,0.636,0.64,0.735,0.648,0.689,0.6,0.634,0.617,0.649
"bioc_skipgram_defaultchar.Max",0.656,0.64,0.648,0.709,0.611,0.656,0.624,0.643,0.633,0.646
"BioWordVec_extrinsic.Min",0.626,0.566,0.595,0.737,0.654,0.693,0.635,0.634,0.634,0.641
"bioc_skipgram_defaultchar.Average",0.567,0.599,0.582,0.691,0.644,0.666,0.588,0.689,0.634,0.628
"bioc_skipgram_defaultchar.Sum",0.567,0.599,0.582,0.691,0.644,0.666,0.588,0.689,0.634,0.628
"stanf_skipgram_defaultchar200dim.Average",0.571,0.597,0.584,0.689,0.646,0.667,0.572,0.682,0.622,0.624
"stanf_skipgram_defaultchar200dim.Sum",0.571,0.597,0.584,0.689,0.646,0.667,0.572,0.682,0.622,0.624
"BioWordVec_extrinsic.Average",0.554,0.59,0.571,0.687,0.643,0.664,0.599,0.673,0.634,0.623
"BioWordVec_extrinsic.Sum",0.554,0.59,0.571,0.687,0.643,0.664,0.599,0.673,0.634,0.623
"BioNLP2016_PubMed.shuffle.win.2.Average",0.441,0.513,0.474,0.684,0.623,0.652,0.547,0.658,0.597,0.575
"BioNLP2016_PubMed.shuffle.win.2.Sum",0.441,0.513,0.474,0.684,0.623,0.652,0.547,0.658,0.597,0.575
"BioNLP2016_PubMed.shuffle.win.2.Max",0.442,0.501,0.469,0.711,0.632,0.669,0.548,0.614,0.579,0.572
"BioNLP2016_PubMed.shuffle.win.2.Min",0.403,0.432,0.417,0.721,0.642,0.679,0.589,0.644,0.615,0.57
