"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"BioWordVec_extrinsic.None",0.735018146906959,0.727884055211496,0.731433705752745,0.711760613557595,0.646042834235111,0.677311351399472,0.732096258628422,0.769206097967603,0.750192529788693,0.719645862313637
"BioWordVec_intrinsic.None",0.740097837989382,0.727371995351094,0.733679737658317,0.710361800976111,0.653641086844856,0.680822106447093,0.710356865208136,0.751386825932094,0.730296006697947,0.714932616934453
"bioc_skipgram_Nonechar200dim.None",0.720410078800346,0.720420029716925,0.720415054224273,0.720998088341252,0.631756563027749,0.673433684044747,0.697733896582867,0.77792240421483,0.735649392122695,0.709832710130572
"bioc_skipgram_defaultchar.Default",0.659749977318326,0.679533555922208,0.669495647455556,0.693753066168125,0.645488718629636,0.66875120356832,0.723979873091791,0.807219487863326,0.763337129419873,0.70052799348125
"BioNLP2016_PubMed.shuffle.win.30.None",0.694169281542045,0.683262556552668,0.688672738453332,0.716623455745657,0.642714492278831,0.677659711014518,0.7051327139731,0.758072254779149,0.730644793881421,0.698992414449757
"BioWordVec_extrinsic.Default",0.671807581123744,0.675647925216802,0.67372228054328,0.711843816764639,0.6448206754809,0.676676677817851,0.72785873385146,0.763150058152674,0.745086733283506,0.698495230548212
"BioWordVec_intrinsic.Default",0.663754734190992,0.674798508271899,0.669231062735123,0.711252047553977,0.652844321913656,0.68079773700489,0.703307974003858,0.747501934328761,0.724731845264178,0.691586881668063
"stanf_skipgram_defaultchar200dim.Default",0.635210092107129,0.649575041971844,0.642312261088265,0.694072310499294,0.643299563420299,0.667722154224336,0.699094263116352,0.783334418043398,0.738820834641842,0.682951749984814
"BioNLP2016_PubMed.shuffle.win.30.Default",0.615445867353888,0.640592909597021,0.627767655111333,0.710851225353233,0.645921622925846,0.676832791460081,0.70889007915406,0.760680072125437,0.733872494716123,0.679490980429179
"bioc_skipgram_Nonechar200dim.Default",0.632173391239558,0.641574859682263,0.636839429590351,0.700237025273671,0.638205521749189,0.667783816431906,0.693794060325957,0.77437172306654,0.731871710981448,0.678831652334568
"BioNLP2016_PubMed.shuffle.win.2.None",0.623731705674678,0.621044271396954,0.622385087490515,0.705837273305178,0.630650034088481,0.666128736140278,0.67878195843584,0.734888539016338,0.705721853352093,0.664745225660962
"BioNLP2016_PubMed.shuffle.win.2.Default",0.573948042856398,0.601375148523851,0.587341578978631,0.697573733860878,0.627224532015533,0.660531297537242,0.688570243387937,0.735980211853067,0.711486310281143,0.653119728932339
"bioc_skipgram_defaultchar.None",0.636177640610567,0.656255917091682,0.64606081834389,0.644446035175703,0.606786651663543,0.625049610636251,0.646067871649002,0.73338215247627,0.686961670331131,0.652690699770424
"stanf_skipgram_defaultchar200dim.None",0.605124623927852,0.626821511469023,0.615782006208228,0.638121310298434,0.604122891206986,0.620656857083503,0.612422008455974,0.712073186601786,0.658498864674694,0.631645909322142
"BioWordVec_intrinsic.BIOSSES",0.618014683155297,0.655755905698583,0.636326167103886,0.578498492261188,0.633741003746166,0.604861030116156,0.612969588479334,0.68971279951472,0.649080658161776,0.630089285127273
"BioWordVec_intrinsic.Blagec",0.618014683155297,0.655755905698583,0.636326167103886,0.578498492261188,0.633741003746166,0.604861030116156,0.612969588479334,0.68971279951472,0.649080658161776,0.630089285127273
