"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"BioWordVec_extrinsic.None",0.735,0.728,0.731,0.712,0.646,0.677,0.732,0.769,0.75,0.72
"BioWordVec_intrinsic.None",0.74,0.727,0.734,0.71,0.654,0.681,0.71,0.751,0.73,0.715
"bioc_skipgram_Nonechar200dim.None",0.72,0.72,0.72,0.721,0.632,0.673,0.698,0.778,0.736,0.71
"bioc_skipgram_defaultchar.Default",0.66,0.68,0.669,0.694,0.645,0.669,0.724,0.807,0.763,0.701
"BioNLP2016_PubMed.shuffle.win.30.None",0.694,0.683,0.689,0.717,0.643,0.678,0.705,0.758,0.731,0.699
"BioWordVec_extrinsic.Default",0.672,0.676,0.674,0.712,0.645,0.677,0.728,0.763,0.745,0.698
"BioWordVec_intrinsic.Default",0.664,0.675,0.669,0.711,0.653,0.681,0.703,0.748,0.725,0.692
"stanf_skipgram_defaultchar200dim.Default",0.635,0.65,0.642,0.694,0.643,0.668,0.699,0.783,0.739,0.683
"BioNLP2016_PubMed.shuffle.win.30.Default",0.615,0.641,0.628,0.711,0.646,0.677,0.709,0.761,0.734,0.679
"bioc_skipgram_Nonechar200dim.Default",0.632,0.642,0.637,0.7,0.638,0.668,0.694,0.774,0.732,0.679
"BioNLP2016_PubMed.shuffle.win.2.None",0.624,0.621,0.622,0.706,0.631,0.666,0.679,0.735,0.706,0.665
"BioNLP2016_PubMed.shuffle.win.2.Default",0.574,0.601,0.587,0.698,0.627,0.661,0.689,0.736,0.711,0.653
"bioc_skipgram_defaultchar.None",0.636,0.656,0.646,0.644,0.607,0.625,0.646,0.733,0.687,0.653
"stanf_skipgram_defaultchar200dim.None",0.605,0.627,0.616,0.638,0.604,0.621,0.612,0.712,0.658,0.632
"BioWordVec_intrinsic.BIOSSES",0.618,0.656,0.636,0.578,0.634,0.605,0.613,0.69,0.649,0.63
"BioWordVec_intrinsic.Blagec",0.618,0.656,0.636,0.578,0.634,0.605,0.613,0.69,0.649,0.63
"BioWordVec_extrinsic.BIOSSES",0.603,0.637,0.619,0.592,0.627,0.609,0.622,0.7,0.659,0.629
"BioWordVec_extrinsic.Blagec",0.603,0.637,0.619,0.592,0.627,0.609,0.622,0.7,0.659,0.629
"bioc_skipgram_Nonechar200dim.BIOSSES",0.595,0.658,0.624,0.563,0.616,0.588,0.6,0.707,0.649,0.621
"bioc_skipgram_Nonechar200dim.Blagec",0.595,0.658,0.624,0.563,0.616,0.588,0.6,0.707,0.649,0.621
"bioc_skipgram_defaultchar.BIOSSES",0.627,0.669,0.647,0.532,0.594,0.561,0.606,0.704,0.651,0.62
"bioc_skipgram_defaultchar.Blagec",0.627,0.669,0.647,0.532,0.594,0.561,0.606,0.704,0.651,0.62
"BioNLP2016_PubMed.shuffle.win.30.BIOSSES",0.543,0.599,0.57,0.621,0.631,0.626,0.593,0.695,0.64,0.612
"BioNLP2016_PubMed.shuffle.win.30.Blagec",0.543,0.599,0.57,0.621,0.631,0.626,0.593,0.695,0.64,0.612
"stanf_skipgram_defaultchar200dim.BIOSSES",0.602,0.658,0.629,0.525,0.594,0.557,0.59,0.688,0.635,0.607
"stanf_skipgram_defaultchar200dim.Blagec",0.602,0.658,0.629,0.525,0.594,0.557,0.59,0.688,0.635,0.607
"BioNLP2016_PubMed.shuffle.win.2.BIOSSES",0.44,0.508,0.472,0.59,0.608,0.599,0.543,0.658,0.595,0.555
"BioNLP2016_PubMed.shuffle.win.2.Blagec",0.44,0.508,0.472,0.59,0.608,0.599,0.543,0.658,0.595,0.555
