Human;Jaccard None;Jaccard Default;Jaccard BIOSSES;Jaccard Blagec;Qgram None;Qgram Default;Qgram BIOSSES;Qgram Blagec;BlockDistance None;BlockDistance Default;BlockDistance BIOSSES;BlockDistance Blagec;OverlapCoefficient None;OverlapCoefficient Default;OverlapCoefficient BIOSSES;OverlapCoefficient Blagec;Levenshtein None;Levenshtein Default;Levenshtein BIOSSES;Levenshtein Blagec
4.0;0.25;0.2;0.34782608695652173;0.34782608695652173;0.38888888888888884;0.3857142857142857;0.5133689839572193;0.5133689839572193;0.3999999761581421;0.3333333134651184;0.5161290168762207;0.5161290168762207;0.5;0.42857142857142855;0.6153846153846154;0.6153846153846154;0.47058823529411764;0.4819277108433735;0.5514018691588785;0.5514018691588785
3.0;0.15;0.10810810810810811;0.15517241379310345;0.15517241379310345;0.3645569620253165;0.353887399463807;0.3625254582484725;0.3625254582484725;0.3214285969734192;0.2222222089767456;0.25641024112701416;0.25641024112701416;0.3;0.2222222222222222;0.2903225806451613;0.2903225806451613;0.2714932126696833;0.28019323671497587;0.24137931034482762;0.24137931034482762
2.2;0.08571428571428572;0.06060606060606061;0.13953488372093023;0.13953488372093023;0.2169491525423729;0.20350877192982453;0.25360230547550433;0.25360230547550433;0.1463414430618286;0.1111111044883728;0.2222222089767456;0.2222222089767456;0.15789473684210525;0.11764705882352941;0.2608695652173913;0.2608695652173913;0.2451612903225806;0.23129251700680276;0.2325581395348837;0.2325581395348837
3.2;0.24444444444444444;0.20930232558139536;0.23214285714285715;0.23214285714285715;0.4718162839248434;0.4595185995623632;0.45353159851301117;0.45353159851301117;0.36666667461395264;0.3272727131843567;0.33766233921051025;0.33766233921051025;0.5;0.45;0.5;0.5;0.3588039867109635;0.3519163763066202;0.343108504398827;0.343108504398827
3.2;0.25925925925925924;0.23076923076923078;0.24242424242424243;0.24242424242424243;0.419047619047619;0.405144694533762;0.3920454545454546;0.3920454545454546;0.3888888955116272;0.3529411554336548;0.3404255509376526;0.3404255509376526;0.4375;0.4;0.4;0.4;0.32704402515723274;0.3184713375796179;0.31818181818181823;0.31818181818181823
3.2;0.15151515151515152;0.0967741935483871;0.18604651162790697;0.18604651162790697;0.29581993569131837;0.3102310231023102;0.33249370277078083;0.33249370277078083;0.24390244483947754;0.162162184715271;0.2950819730758667;0.2950819730758667;0.2631578947368421;0.17647058823529413;0.32;0.32;0.27647058823529413;0.2831325301204819;0.2966507177033493;0.2966507177033493
1.4;0.0625;0.03333333333333333;0.07317073170731707;0.07317073170731707;0.09716599190283404;0.08438818565400841;0.13815789473684215;0.13815789473684215;0.11428570747375488;0.0625;0.12000000476837158;0.12000000476837158;0.125;0.07142857142857142;0.16666666666666666;0.16666666666666666;0.23703703703703705;0.24060150375939848;0.23369565217391308;0.23369565217391308
3.0;0.16;0.13043478260869565;0.125;0.125;0.3833333333333333;0.3706896551724138;0.30996309963099633;0.30996309963099633;0.2666666507720947;0.23076921701431274;0.21621620655059814;0.21621620655059814;0.4;0.3333333333333333;0.2857142857142857;0.2857142857142857;0.32278481012658233;0.3092105263157895;0.31176470588235294;0.31176470588235294
1.4;0.075;0.05405405405405406;0.11764705882352941;0.11764705882352941;0.17032967032967028;0.17867435158501443;0.19277108433734935;0.19277108433734935;0.12000000476837158;0.0952380895614624;0.19354838132858276;0.19354838132858276;0.14285714285714285;0.10526315789473684;0.23076923076923078;0.23076923076923078;0.28365384615384615;0.2849740932642487;0.24766355140186913;0.24766355140186913
3.0;0.08333333333333333;0.058823529411764705;0.13043478260869565;0.13043478260869565;0.21250000000000002;0.19871794871794868;0.2800982800982801;0.2800982800982801;0.1463414430618286;0.10810810327529907;0.2539682388305664;0.2539682388305664;0.2;0.14285714285714285;0.3;0.3;0.2757009345794392;0.27884615384615385;0.2977941176470589;0.2977941176470589
