"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"BlockDistance.Default",0.75758151797673,0.769125337806878,0.763309785009162,0.727016190846077,0.678246782736489,0.701785219860441,0.72584989161838,0.710793745728518,0.718242923837192,0.727779309568932
"Qgram.Default",0.732863497640866,0.751730227424899,0.742176980073886,0.707585852775074,0.678039198719058,0.692497503741306,0.735790989666859,0.746006200959,0.740863384508643,0.725179289441278
"Qgram.BIOSSES",0.716240852094481,0.746023022737044,0.730828648213502,0.709210282043148,0.694478568175986,0.701767120444281,0.720298999440879,0.75034423347614,0.735014704466523,0.722536824374769
"Qgram.Blagec",0.716240852094481,0.746023022737044,0.730828648213502,0.709210282043148,0.694478568175986,0.701767120444281,0.720298999440879,0.75034423347614,0.735014704466523,0.722536824374769
"Jaccard.Default",0.753707413775907,0.777312975853487,0.765328217303237,0.702361825724411,0.674108190006021,0.687945038624264,0.70143127910783,0.709501500155337,0.705443309698679,0.71957218854206
"Qgram.None",0.72072509209761,0.733651447994025,0.727130825954774,0.697788526593622,0.669898084409722,0.683558928671865,0.72237141378731,0.737431709814752,0.729823875805993,0.713504543477544
"BlockDistance.None",0.742901195083796,0.754662908003498,0.748735863907832,0.699460348562144,0.659606736642909,0.678949204124942,0.712331612851191,0.660641396785876,0.68551347824841,0.704399515427061
"Jaccard.None",0.737064813136726,0.762152289472471,0.749398647926428,0.688354920990262,0.662134677577796,0.67499026153515,0.705749876522059,0.672413123497558,0.688678304196904,0.704355737886161
"OverlapCoefficient.Default",0.750068195576114,0.765138606964715,0.757528455296359,0.684395555747245,0.552650130687703,0.611507396167115,0.713807277861511,0.702416376946348,0.708066018035043,0.692367289832839
"Jaccard.BIOSSES",0.70327912207269,0.74254905649425,0.722380786719468,0.679404410037728,0.666451757322254,0.67286575487531,0.655932410585828,0.683780600639526,0.669567069859359,0.688271203818046
"Jaccard.Blagec",0.70327912207269,0.74254905649425,0.722380786719468,0.679404410037728,0.666451757322254,0.67286575487531,0.655932410585828,0.683780600639526,0.669567069859359,0.688271203818046
"BlockDistance.BIOSSES",0.676946686579238,0.715284183902876,0.695587590423002,0.666614279996115,0.66083363684708,0.663711371925814,0.663361061081658,0.666446195537065,0.664900049574713,0.67473300397451
"BlockDistance.Blagec",0.676946686579238,0.715284183902876,0.695587590423002,0.666614279996115,0.66083363684708,0.663711371925814,0.663361061081658,0.666446195537065,0.664900049574713,0.67473300397451
"OverlapCoefficient.None",0.734131225373227,0.745087960397576,0.739569014030169,0.66399892310393,0.543163630737597,0.597533554584284,0.696506444120408,0.639398818055256,0.666732005251878,0.667944857955444
"OverlapCoefficient.BIOSSES",0.686315795758561,0.740105322062489,0.712196372740728,0.649919417669327,0.545569590754784,0.593190348422933,0.649433165778196,0.661188700177964,0.65525821274175,0.653548311301804
"OverlapCoefficient.Blagec",0.686315795758561,0.740105322062489,0.712196372740728,0.649919417669327,0.545569590754784,0.593190348422933,0.649433165778196,0.661188700177964,0.65525821274175,0.653548311301804
"Levenshtein.Default",0.541191395005429,0.521210786789483,0.531013203150461,0.618034850753813,0.639295132548257,0.628485245845247,0.436877207495433,0.439287825870183,0.438079200480536,0.532525883158748
"Levenshtein.BIOSSES",0.516417002254806,0.523774113589865,0.520069540065438,0.586692094307227,0.624798765047176,0.605146119189768,0.42663552341633,0.422695058198031,0.424656149922305,0.516623936392503
"Levenshtein.Blagec",0.516417002254806,0.523774113589865,0.520069540065438,0.586692094307227,0.624798765047176,0.605146119189768,0.42663552341633,0.422695058198031,0.424656149922305,0.516623936392503
"Levenshtein.None",0.511249599610456,0.492328960212737,0.501610922875311,0.608291946225554,0.631902331807193,0.619872395878469,0.417893124345334,0.399255685182521,0.408361864444161,0.509948394399314
