"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"BlockDistance.Default",0.758,0.769,0.763,0.727,0.678,0.702,0.726,0.711,0.718,0.728
"Qgram.Default",0.733,0.752,0.742,0.708,0.678,0.692,0.736,0.746,0.741,0.725
"Qgram.BIOSSES",0.716,0.746,0.731,0.709,0.694,0.702,0.72,0.75,0.735,0.723
"Qgram.Blagec",0.716,0.746,0.731,0.709,0.694,0.702,0.72,0.75,0.735,0.723
"Jaccard.Default",0.754,0.777,0.765,0.702,0.674,0.688,0.701,0.71,0.705,0.72
"Qgram.None",0.721,0.734,0.727,0.698,0.67,0.684,0.722,0.737,0.73,0.714
"BlockDistance.None",0.743,0.755,0.749,0.699,0.66,0.679,0.712,0.661,0.686,0.704
"Jaccard.None",0.737,0.762,0.749,0.688,0.662,0.675,0.706,0.672,0.689,0.704
"OverlapCoefficient.Default",0.75,0.765,0.758,0.684,0.553,0.612,0.714,0.702,0.708,0.692
"Jaccard.BIOSSES",0.703,0.743,0.722,0.679,0.666,0.673,0.656,0.684,0.67,0.688
"Jaccard.Blagec",0.703,0.743,0.722,0.679,0.666,0.673,0.656,0.684,0.67,0.688
"BlockDistance.BIOSSES",0.677,0.715,0.696,0.667,0.661,0.664,0.663,0.666,0.665,0.675
"BlockDistance.Blagec",0.677,0.715,0.696,0.667,0.661,0.664,0.663,0.666,0.665,0.675
"OverlapCoefficient.None",0.734,0.745,0.74,0.664,0.543,0.598,0.697,0.639,0.667,0.668
"OverlapCoefficient.BIOSSES",0.686,0.74,0.712,0.65,0.546,0.593,0.649,0.661,0.655,0.654
"OverlapCoefficient.Blagec",0.686,0.74,0.712,0.65,0.546,0.593,0.649,0.661,0.655,0.654
"Levenshtein.Default",0.541,0.521,0.531,0.618,0.639,0.628,0.437,0.439,0.438,0.533
"Levenshtein.BIOSSES",0.516,0.524,0.52,0.587,0.625,0.605,0.427,0.423,0.425,0.517
"Levenshtein.Blagec",0.516,0.524,0.52,0.587,0.625,0.605,0.427,0.423,0.425,0.517
"Levenshtein.None",0.511,0.492,0.502,0.608,0.632,0.62,0.418,0.399,0.408,0.51
