"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"WBSM.Lin.BIOSSES",0.717244398922696,0.764111771812949,0.739936686815257,0.718028545772399,0.672023308564561,0.694264631162167,0.718113344260612,0.717257470065891,0.717685151995517,0.717295489990981
"WBSM.Lin.Blagec",0.717244398922696,0.764111771812949,0.739936686815257,0.718028545772399,0.672023308564561,0.694264631162167,0.718113344260612,0.717257470065891,0.717685151995517,0.717295489990981
"WBSM.Cai.BIOSSES",0.717244398922696,0.764111771812949,0.739936686815257,0.718028545772399,0.672023308564561,0.694264631162167,0.718113344260612,0.717257470065891,0.717685151995517,0.717295489990981
"WBSM.Cai.Blagec",0.717244398922696,0.764111771812949,0.739936686815257,0.718028545772399,0.672023308564561,0.694264631162167,0.718113344260612,0.717257470065891,0.717685151995517,0.717295489990981
"WBSM.Resnik.BIOSSES",0.717244398922696,0.764111771812949,0.739936686815257,0.718028545772399,0.672023308564561,0.694264631162167,0.718113344260612,0.717257470065891,0.717685151995517,0.717295489990981
"WBSM.Resnik.Blagec",0.717244398922696,0.764111771812949,0.739936686815257,0.718028545772399,0.672023308564561,0.694264631162167,0.718113344260612,0.717257470065891,0.717685151995517,0.717295489990981
"WBSM.CosineNormJiangConrath.BIOSSES",0.717244398922696,0.764111771812949,0.739936686815257,0.718028545772399,0.672023308564561,0.694264631162167,0.718113344260612,0.717257470065891,0.717685151995517,0.717295489990981
"WBSM.CosineNormJiangConrath.Blagec",0.717244398922696,0.764111771812949,0.739936686815257,0.718028545772399,0.672023308564561,0.694264631162167,0.718113344260612,0.717257470065891,0.717685151995517,0.717295489990981
"WBSM.Lin.Default",0.71106083119632,0.760012926533189,0.73472240317131,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.716384957087015
"WBSM.Cai.Default",0.71106083119632,0.760012926533189,0.73472240317131,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.716384957087015
"WBSM.Resnik.Default",0.71106083119632,0.760012926533189,0.73472240317131,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.716384957087015
"WBSM.CosineNormJiangConrath.Default",0.71106083119632,0.760012926533189,0.73472240317131,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.716384957087015
"WBSM.Lin.None",0.697234753787996,0.720156272702159,0.708510174118643,0.705991315357552,0.655833151682349,0.679988531000221,0.686446834242164,0.688065551053148,0.687255239493599,0.691917981537487
"WBSM.Cai.None",0.697234753787996,0.720156272702159,0.708510174118643,0.705991315357552,0.655833151682349,0.679988531000221,0.686446834242164,0.688065551053148,0.687255239493599,0.691917981537487
"WBSM.Resnik.None",0.697234753787996,0.720156272702159,0.708510174118643,0.705991315357552,0.655833151682349,0.679988531000221,0.686446834242164,0.688065551053148,0.687255239493599,0.691917981537487
"WBSM.CosineNormJiangConrath.None",0.697234753787996,0.720156272702159,0.708510174118643,0.705991315357552,0.655833151682349,0.679988531000221,0.686446834242164,0.688065551053148,0.687255239493599,0.691917981537487
"WBSM.JiangConrath.BIOSSES",0.351733449445385,0.406490616966472,0.377134815963853,0.49678587234981,0.484273923167318,0.490450112166972,0.318745046552771,0.274987838570362,0.295254022819969,0.387612983650265
"WBSM.JiangConrath.Blagec",0.351733449445385,0.406490616966472,0.377134815963853,0.49678587234981,0.484273923167318,0.490450112166972,0.318745046552771,0.274987838570362,0.295254022819969,0.387612983650265
"WBSM.WuPalmerFast.BIOSSES",0.349196493699741,0.406109869504752,0.375508930935683,0.496755722004231,0.484456242253039,0.490528895215888,0.319094231833206,0.275150065007808,0.295497320207393,0.387178382119655
"WBSM.WuPalmerFast.Blagec",0.349196493699741,0.406109869504752,0.375508930935683,0.496755722004231,0.484456242253039,0.490528895215888,0.319094231833206,0.275150065007808,0.295497320207393,0.387178382119655
"WBSM.JiangConrath.Default",0.338586771491206,0.403763423457326,0.368313916868119,0.493008626654065,0.487403143999781,0.49018986071526,0.320240349132538,0.278987283415559,0.298193808802253,0.385565862128544
"WBSM.WuPalmerFast.Default",0.33601369275759,0.403834502847919,0.366815580198313,0.492964094139277,0.487540883669182,0.490237490912139,0.320590276338452,0.278595576558187,0.298121300573719,0.385058123894724
"WBSM.JiangConrath.None",0.332647243970011,0.40839551154924,0.366649941193705,0.4727381867436,0.459809707115751,0.466184329234655,0.330730449908792,0.304189874903795,0.316905445464602,0.383246571964321
"WBSM.WuPalmerFast.None",0.330137575315252,0.40584300796285,0.364096634209372,0.472571767936005,0.459755925453668,0.466075762955773,0.330905811525523,0.30560442139427,0.317752249177122,0.382641548780756
