"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"biobert_v1.0_pubmed.Biosses2017",0.58222527280783,0.596628052406238,0.589338678777441,-0.0312587346391657,-0.0359610576615105,-0.0334454219601504,0.635565985210199,0.678918045766055,0.656527133789244,0.404140130202178
"biobert_v1.0_pmc.Biosses2017",0.58222527280783,0.596628052406238,0.589338678777441,-0.0312587346391657,-0.0359610576615105,-0.0334454219601504,0.635565985210199,0.678918045766055,0.656527133789244,0.404140130202178
"biobert_v1.0_pubmed_pmc.Biosses2017",0.58222527280783,0.596628052406238,0.589338678777441,-0.0312587346391657,-0.0359610576615105,-0.0334454219601504,0.635565985210199,0.678918045766055,0.656527133789244,0.404140130202178
"biobert_v1.0_pubmed.nltk2018",0.526499056512721,0.560368190056098,0.542905905566077,-0.030744095755194,-0.0357677619753626,-0.0330662091434664,0.596145792707606,0.630664886636428,0.612919703271173,0.374253133231261
"biobert_v1.0_pmc.nltk2018",0.526499056512721,0.560368190056098,0.542905905566077,-0.030744095755194,-0.0357677619753626,-0.0330662091434664,0.596145792707606,0.630664886636428,0.612919703271173,0.374253133231261
"biobert_v1.0_pubmed_pmc.nltk2018",0.526499056512721,0.560368190056098,0.542905905566077,-0.030744095755194,-0.0357677619753626,-0.0330662091434664,0.596145792707606,0.630664886636428,0.612919703271173,0.374253133231261
"biobert_v1.0_pubmed.None",0.513274993272905,0.524433636323155,0.518794319481825,-0.0305646468375177,-0.0363507665500066,-0.0332075462327233,0.603489375681152,0.632803101700994,0.617798709870472,0.367795161039858
"biobert_v1.0_pmc.None",0.513274993272905,0.524433636323155,0.518794319481825,-0.0305646468375177,-0.0363507665500066,-0.0332075462327233,0.603489375681152,0.632803101700994,0.617798709870472,0.367795161039858
"biobert_v1.0_pubmed_pmc.None",0.513274993272905,0.524433636323155,0.518794319481825,-0.0305646468375177,-0.0363507665500066,-0.0332075462327233,0.603489375681152,0.632803101700994,0.617798709870472,0.367795161039858
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.Biosses2017",0.560205851973641,0.530572330414332,0.544986559490389,-0.0311685124141102,-0.0355624415838706,-0.0332208168945548,0.571006995350297,0.59684132489061,0.583638415571598,0.365134719389144
"NCBI_BERT_pubmed_mimic_uncased_L.24_H.1024_A.16.Biosses2017",0.560205851973641,0.530572330414332,0.544986559490389,-0.0311685124141102,-0.0355624415838706,-0.0332208168945548,0.571006995350297,0.59684132489061,0.583638415571598,0.365134719389144
"NCBI_BERT_pubmed_uncased_L.12_H.768_A.12.Biosses2017",0.560205851973641,0.530572330414332,0.544986559490389,-0.0311685124141102,-0.0355624415838706,-0.0332208168945548,0.571006995350297,0.59684132489061,0.583638415571598,0.365134719389144
"NCBI_BERT_pubmed_uncased_L.24_H.1024_A.16.Biosses2017",0.560205851973641,0.530572330414332,0.544986559490389,-0.0311685124141102,-0.0355624415838706,-0.0332208168945548,0.571006995350297,0.59684132489061,0.583638415571598,0.365134719389144
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.nltk2018",0.525328094701762,0.53301816927696,0.529145193473875,-0.0307803486417028,-0.0353472071035924,-0.0329060811607711,0.548323547521527,0.557713086980617,0.552978461676445,0.34973919132985
"NCBI_BERT_pubmed_mimic_uncased_L.24_H.1024_A.16.nltk2018",0.525328094701762,0.53301816927696,0.529145193473875,-0.0307803486417028,-0.0353472071035924,-0.0329060811607711,0.548323547521527,0.557713086980617,0.552978461676445,0.34973919132985
"NCBI_BERT_pubmed_uncased_L.12_H.768_A.12.nltk2018",0.525328094701762,0.53301816927696,0.529145193473875,-0.0307803486417028,-0.0353472071035924,-0.0329060811607711,0.548323547521527,0.557713086980617,0.552978461676445,0.34973919132985
"NCBI_BERT_pubmed_uncased_L.24_H.1024_A.16.nltk2018",0.525328094701762,0.53301816927696,0.529145193473875,-0.0307803486417028,-0.0353472071035924,-0.0329060811607711,0.548323547521527,0.557713086980617,0.552978461676445,0.34973919132985
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.None",0.479523280491792,0.48530021452111,0.482394452650474,-0.0304835547157961,-0.0357285800248572,-0.0328983238003569,0.581358177495957,0.604352521905783,0.592632386428672,0.347376171759596
"NCBI_BERT_pubmed_mimic_uncased_L.24_H.1024_A.16.None",0.479523280491792,0.48530021452111,0.482394452650474,-0.0304835547157961,-0.0357285800248572,-0.0328983238003569,0.581358177495957,0.604352521905783,0.592632386428672,0.347376171759596
"NCBI_BERT_pubmed_uncased_L.12_H.768_A.12.None",0.479523280491792,0.48530021452111,0.482394452650474,-0.0304835547157961,-0.0357285800248572,-0.0328983238003569,0.581358177495957,0.604352521905783,0.592632386428672,0.347376171759596
"NCBI_BERT_pubmed_uncased_L.24_H.1024_A.16.None",0.479523280491792,0.48530021452111,0.482394452650474,-0.0304835547157961,-0.0357285800248572,-0.0328983238003569,0.581358177495957,0.604352521905783,0.592632386428672,0.347376171759596
