"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"biobert_v1.0_pubmed.Biosses2017",0.582,0.597,0.589,-0.031,-0.036,-0.033,0.636,0.679,0.657,0.404
"biobert_v1.0_pmc.Biosses2017",0.582,0.597,0.589,-0.031,-0.036,-0.033,0.636,0.679,0.657,0.404
"biobert_v1.0_pubmed_pmc.Biosses2017",0.582,0.597,0.589,-0.031,-0.036,-0.033,0.636,0.679,0.657,0.404
"biobert_v1.0_pubmed.nltk2018",0.526,0.56,0.543,-0.031,-0.036,-0.033,0.596,0.631,0.613,0.374
"biobert_v1.0_pmc.nltk2018",0.526,0.56,0.543,-0.031,-0.036,-0.033,0.596,0.631,0.613,0.374
"biobert_v1.0_pubmed_pmc.nltk2018",0.526,0.56,0.543,-0.031,-0.036,-0.033,0.596,0.631,0.613,0.374
"biobert_v1.0_pubmed.None",0.513,0.524,0.519,-0.031,-0.036,-0.033,0.603,0.633,0.618,0.368
"biobert_v1.0_pmc.None",0.513,0.524,0.519,-0.031,-0.036,-0.033,0.603,0.633,0.618,0.368
"biobert_v1.0_pubmed_pmc.None",0.513,0.524,0.519,-0.031,-0.036,-0.033,0.603,0.633,0.618,0.368
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.Biosses2017",0.56,0.531,0.545,-0.031,-0.036,-0.033,0.571,0.597,0.584,0.365
"NCBI_BERT_pubmed_mimic_uncased_L.24_H.1024_A.16.Biosses2017",0.56,0.531,0.545,-0.031,-0.036,-0.033,0.571,0.597,0.584,0.365
"NCBI_BERT_pubmed_uncased_L.12_H.768_A.12.Biosses2017",0.56,0.531,0.545,-0.031,-0.036,-0.033,0.571,0.597,0.584,0.365
"NCBI_BERT_pubmed_uncased_L.24_H.1024_A.16.Biosses2017",0.56,0.531,0.545,-0.031,-0.036,-0.033,0.571,0.597,0.584,0.365
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.nltk2018",0.525,0.533,0.529,-0.031,-0.035,-0.033,0.548,0.558,0.553,0.35
"NCBI_BERT_pubmed_mimic_uncased_L.24_H.1024_A.16.nltk2018",0.525,0.533,0.529,-0.031,-0.035,-0.033,0.548,0.558,0.553,0.35
"NCBI_BERT_pubmed_uncased_L.12_H.768_A.12.nltk2018",0.525,0.533,0.529,-0.031,-0.035,-0.033,0.548,0.558,0.553,0.35
"NCBI_BERT_pubmed_uncased_L.24_H.1024_A.16.nltk2018",0.525,0.533,0.529,-0.031,-0.035,-0.033,0.548,0.558,0.553,0.35
"NCBI_BERT_pubmed_mimic_uncased_L.12_H.768_A.12.None",0.48,0.485,0.482,-0.03,-0.036,-0.033,0.581,0.604,0.593,0.347
"NCBI_BERT_pubmed_mimic_uncased_L.24_H.1024_A.16.None",0.48,0.485,0.482,-0.03,-0.036,-0.033,0.581,0.604,0.593,0.347
"NCBI_BERT_pubmed_uncased_L.12_H.768_A.12.None",0.48,0.485,0.482,-0.03,-0.036,-0.033,0.581,0.604,0.593,0.347
"NCBI_BERT_pubmed_uncased_L.24_H.1024_A.16.None",0.48,0.485,0.482,-0.03,-0.036,-0.033,0.581,0.604,0.593,0.347
