"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"bioc_skipgram_defaultchar.Biosses2017",0.659113486685884,0.684148118899482,0.671397515096726,0.691993630840629,0.648200724045726,0.669381677232871,0.72343013319186,0.807995246437807,0.763377852455657,0.701385681595085
"bioc_skipgram_defaultchar.nltk2018",0.659749977318326,0.679533555922208,0.669495647455556,0.693753066168125,0.645488718629636,0.66875120356832,0.723979873091791,0.807219487863326,0.763337129419873,0.70052799348125
"BioWordVec_extrinsic.Biosses2017",0.669038945083198,0.678009424808305,0.673494316119844,0.711594699935275,0.647590162927339,0.678085432321203,0.726570298449217,0.767376478688168,0.746416091491188,0.699331946644078
"BioWordVec_extrinsic.nltk2018",0.671807581123744,0.675647925216802,0.67372228054328,0.711843816764639,0.6448206754809,0.676676677817851,0.72785873385146,0.763150058152674,0.745086733283506,0.698495230548212
"stanford_skipgram_nonechar200dim.Biosses2017",0.65382950715447,0.66764171869357,0.660663429291161,0.702574398498337,0.647106714108803,0.67370078188471,0.707517792173678,0.781348671252118,0.742602644874051,0.692322285349974
"BioWordVec_intrinsic.Biosses2017",0.660981177089865,0.676394930189624,0.668599229043834,0.709547377263776,0.655365290955284,0.681380917877746,0.702529309936749,0.749645028378072,0.725322835679786,0.691767660867122
"BioWordVec_intrinsic.nltk2018",0.663754734190992,0.674798508271899,0.669231062735123,0.711252047553977,0.652844321913656,0.68079773700489,0.703307974003858,0.747501934328761,0.724731845264178,0.691586881668063
"stanford_skipgram_nonechar200dim.nltk2018",0.654465279464375,0.658255962664077,0.656355147975706,0.702958942357087,0.644509406384202,0.672466482903666,0.708560740065347,0.778241977715638,0.741768501073377,0.690196710650916
"stanf_skipgram_defaultchar200dim.Biosses2017",0.634392850242762,0.657701733168112,0.645837050121654,0.692102257069519,0.646364163648183,0.668451728971856,0.697951160595248,0.786502098889193,0.739585499540701,0.684624759544737
"bioc_skipgram_Defaultchar200dim_8ene.Biosses2017",0.635543384561913,0.663400658202708,0.649173306553515,0.695135286753324,0.64555395676228,0.669427814117415,0.694580279778633,0.780794906483543,0.73516858578737,0.684589902152766
"bioc_skipgram_Defaultchar200dim_8ene.nltk2018",0.636744452421152,0.655418548614083,0.645946563258021,0.696717127232229,0.642376705829791,0.668444349509459,0.695466009289536,0.778437137105444,0.734616206702113,0.683002373156531
