"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"BlockDistance.nltk2018",0.768022362912084,0.77394359400437,0.770971609537438,0.726561484029498,0.677578623091081,0.701215679892895,0.72808437325898,0.711046695131991,0.719464680811685,0.730550656747339
"BlockDistance.Biosses2017",0.763148567679594,0.771996707348517,0.767547138436908,0.727761468513024,0.678297635303926,0.702159506407153,0.725865187973068,0.707646154660177,0.716639895052778,0.728782179965613
"Qgram.nltk2018",0.742158592360872,0.758240168582879,0.750113197684834,0.699277350840519,0.671513364303003,0.685114191767259,0.736901078680878,0.748514772768787,0.742662525007506,0.725963304819866
"Qgram.Biosses2017",0.739704983150014,0.755673845047215,0.747604149901515,0.699914241879017,0.671689944665712,0.685511699381401,0.73491391783014,0.745399091903597,0.740119371208437,0.724411740163785
"Qgram.None",0.716240852094481,0.746023022737044,0.730828648213502,0.709210282043148,0.694478568175986,0.701767120444281,0.720298999440879,0.75034423347614,0.735014704466523,0.722536824374769
"Jaccard.nltk2018",0.761492684934233,0.781903544030836,0.771563151353416,0.702306270624551,0.673901996427188,0.687811008272957,0.704551236683752,0.709281326648765,0.706908369219036,0.722094176281803
"Jaccard.Biosses2017",0.756931383919176,0.780084977431344,0.768333787966761,0.702902875306287,0.674090589206641,0.688195297336226,0.701838995347081,0.706231358804452,0.704028326261571,0.720185803854853
"OverlapCoefficient.nltk2018",0.756316721513894,0.77037807719447,0.763282644524421,0.683668106580893,0.553094181516456,0.611488327995493,0.712771845119515,0.702332070599828,0.707513448711752,0.694094807077222
"OverlapCoefficient.Biosses2017",0.751053597477239,0.764305076917419,0.757621396555843,0.684787701233699,0.553902188657579,0.612429970688516,0.710767262736218,0.699449989539258,0.705063214456521,0.69170486056696
"Jaccard.None",0.70327912207269,0.74254905649425,0.722380786719468,0.679404410037728,0.666451757322254,0.67286575487531,0.655932410585828,0.683780600639526,0.669567069859359,0.688271203818046
"BlockDistance.None",0.676946686579238,0.715284183902876,0.695587590423002,0.666614279996115,0.66083363684708,0.663711371925814,0.663361061081658,0.666446195537065,0.664900049574713,0.67473300397451
"OverlapCoefficient.None",0.686315795758561,0.740105322062489,0.712196372740728,0.649919417669327,0.545569590754784,0.593190348422933,0.649433165778196,0.661188700177964,0.65525821274175,0.653548311301804
"Levenshtein.Biosses2017",0.533449152311731,0.512097785546695,0.522555458218154,0.619808439718871,0.640204542338812,0.629841412966945,0.433986668151926,0.448718133932571,0.441229474281493,0.531208781822198
"Levenshtein.nltk2018",0.534931243444348,0.515102413771908,0.524829604854167,0.618616791391028,0.639250883500863,0.628764596370078,0.434510186351185,0.439197148766242,0.436841096062632,0.530145099095625
"Levenshtein.None",0.516417002254806,0.523774113589865,0.520069540065438,0.586692094307227,0.624798765047176,0.605146119189768,0.42663552341633,0.422695058198031,0.424656149922305,0.516623936392503
