"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"BlockDistance.nltk2018",0.768,0.774,0.771,0.727,0.678,0.701,0.728,0.711,0.719,0.731
"BlockDistance.Biosses2017",0.763,0.772,0.768,0.728,0.678,0.702,0.726,0.708,0.717,0.729
"Qgram.nltk2018",0.742,0.758,0.75,0.699,0.672,0.685,0.737,0.749,0.743,0.726
"Qgram.Biosses2017",0.74,0.756,0.748,0.7,0.672,0.686,0.735,0.745,0.74,0.724
"Qgram.None",0.716,0.746,0.731,0.709,0.694,0.702,0.72,0.75,0.735,0.723
"Jaccard.nltk2018",0.761,0.782,0.772,0.702,0.674,0.688,0.705,0.709,0.707,0.722
"Jaccard.Biosses2017",0.757,0.78,0.768,0.703,0.674,0.688,0.702,0.706,0.704,0.72
"OverlapCoefficient.nltk2018",0.756,0.77,0.763,0.684,0.553,0.611,0.713,0.702,0.708,0.694
"OverlapCoefficient.Biosses2017",0.751,0.764,0.758,0.685,0.554,0.612,0.711,0.699,0.705,0.692
"Jaccard.None",0.703,0.743,0.722,0.679,0.666,0.673,0.656,0.684,0.67,0.688
"BlockDistance.None",0.677,0.715,0.696,0.667,0.661,0.664,0.663,0.666,0.665,0.675
"OverlapCoefficient.None",0.686,0.74,0.712,0.65,0.546,0.593,0.649,0.661,0.655,0.654
"Levenshtein.Biosses2017",0.533,0.512,0.523,0.62,0.64,0.63,0.434,0.449,0.441,0.531
"Levenshtein.nltk2018",0.535,0.515,0.525,0.619,0.639,0.629,0.435,0.439,0.437,0.53
"Levenshtein.None",0.516,0.524,0.52,0.587,0.625,0.605,0.427,0.423,0.425,0.517
