"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"WBSM.Lin.nltk2018",0.787375360714775,0.804764002998437,0.795974726324647,0.74526564353375,0.681473454716613,0.711943414746769,0.792595903373592,0.794735680186978,0.793664349534425,0.76719416353528
"WBSM.Cai.nltk2018",0.787375360714775,0.804764002998437,0.795974726324647,0.74526564353375,0.681473454716613,0.711943414746769,0.792595903373592,0.794735680186978,0.793664349534425,0.76719416353528
"WBSM.Resnik.nltk2018",0.787375360714775,0.804764002998437,0.795974726324647,0.74526564353375,0.681473454716613,0.711943414746769,0.792595903373592,0.794735680186978,0.793664349534425,0.76719416353528
"WBSM.CosNormJConrath.nltk2018",0.787375360714775,0.804764002998437,0.795974726324647,0.74526564353375,0.681473454716613,0.711943414746769,0.792595903373592,0.794735680186978,0.793664349534425,0.76719416353528
"WBSM.Lin.Biosses2017",0.782344530894236,0.800924206466655,0.791525352334632,0.745645131222201,0.681961868093135,0.712383095441133,0.790989473474817,0.792717683386801,0.791852635482017,0.765253694419261
"WBSM.Cai.Biosses2017",0.782344530894236,0.800924206466655,0.791525352334632,0.745645131222201,0.681961868093135,0.712383095441133,0.790989473474817,0.792717683386801,0.791852635482017,0.765253694419261
"WBSM.Resnik.Biosses2017",0.782344530894236,0.800924206466655,0.791525352334632,0.745645131222201,0.681961868093135,0.712383095441133,0.790989473474817,0.792717683386801,0.791852635482017,0.765253694419261
"WBSM.CosNormJConrath.Biosses2017",0.782344530894236,0.800924206466655,0.791525352334632,0.745645131222201,0.681961868093135,0.712383095441133,0.790989473474817,0.792717683386801,0.791852635482017,0.765253694419261
"WBSM.Lin.None",0.71106083119632,0.760012926533189,0.73472240317131,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.716384957087015
"WBSM.Cai.None",0.71106083119632,0.760012926533189,0.73472240317131,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.716384957087015
"WBSM.Resnik.None",0.71106083119632,0.760012926533189,0.73472240317131,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.716384957087015
"WBSM.CosNormJConrath.None",0.71106083119632,0.760012926533189,0.73472240317131,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.716384957087015
"WBSM.JiangConrath.None",0.338586771491206,0.403763423457326,0.368313916868119,0.493008626654065,0.487403143999781,0.49018986071526,0.320240349132538,0.278987283415559,0.298193808802253,0.385565862128544
"WBSM.WuPalmerFast.None",0.33601369275759,0.403834502847919,0.366815580198313,0.492964094139277,0.487540883669182,0.490237490912139,0.320590276338452,0.278595576558187,0.298121300573719,0.385058123894724
"WBSM.WuPalmerFast.Biosses2017",0.307991173063644,0.341229761501553,0.323759598416143,0.490053975954034,0.476563393432204,0.483214544124916,0.31463562349278,0.274630600223811,0.293275150191448,0.366749764244169
"WBSM.JiangConrath.Biosses2017",0.307131681612846,0.340657450719048,0.323027017500754,0.490118825500279,0.476003258603573,0.482957924013277,0.313847768479706,0.273876509525393,0.292502911893695,0.366162617802575
"WBSM.WuPalmerFast.nltk2018",0.295914230077594,0.329895985664059,0.311982496123933,0.492241273750447,0.476147174041972,0.484060486217896,0.321896062596903,0.28027651641391,0.299648008616459,0.36523033031943
"WBSM.JiangConrath.nltk2018",0.29506006058422,0.32928752711178,0.311235598932233,0.492264448994574,0.475517122689971,0.48374588075906,0.320964129503979,0.279452129727614,0.298773086760996,0.364584855484096
