"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"WBSM.Lin.nltk2018",0.787,0.805,0.796,0.745,0.681,0.712,0.793,0.795,0.794,0.767
"WBSM.Cai.nltk2018",0.787,0.805,0.796,0.745,0.681,0.712,0.793,0.795,0.794,0.767
"WBSM.Resnik.nltk2018",0.787,0.805,0.796,0.745,0.681,0.712,0.793,0.795,0.794,0.767
"WBSM.CosNormJConrath.nltk2018",0.787,0.805,0.796,0.745,0.681,0.712,0.793,0.795,0.794,0.767
"WBSM.Lin.Biosses2017",0.782,0.801,0.792,0.746,0.682,0.712,0.791,0.793,0.792,0.765
"WBSM.Cai.Biosses2017",0.782,0.801,0.792,0.746,0.682,0.712,0.791,0.793,0.792,0.765
"WBSM.Resnik.Biosses2017",0.782,0.801,0.792,0.746,0.682,0.712,0.791,0.793,0.792,0.765
"WBSM.CosNormJConrath.Biosses2017",0.782,0.801,0.792,0.746,0.682,0.712,0.791,0.793,0.792,0.765
"WBSM.Lin.None",0.711,0.76,0.735,0.718,0.673,0.695,0.72,0.72,0.72,0.716
"WBSM.Cai.None",0.711,0.76,0.735,0.718,0.673,0.695,0.72,0.72,0.72,0.716
"WBSM.Resnik.None",0.711,0.76,0.735,0.718,0.673,0.695,0.72,0.72,0.72,0.716
"WBSM.CosNormJConrath.None",0.711,0.76,0.735,0.718,0.673,0.695,0.72,0.72,0.72,0.716
"WBSM.JiangConrath.None",0.339,0.404,0.368,0.493,0.487,0.49,0.32,0.279,0.298,0.386
"WBSM.WuPalmerFast.None",0.336,0.404,0.367,0.493,0.488,0.49,0.321,0.279,0.298,0.385
"WBSM.WuPalmerFast.Biosses2017",0.308,0.341,0.324,0.49,0.477,0.483,0.315,0.275,0.293,0.367
"WBSM.JiangConrath.Biosses2017",0.307,0.341,0.323,0.49,0.476,0.483,0.314,0.274,0.293,0.366
"WBSM.WuPalmerFast.nltk2018",0.296,0.33,0.312,0.492,0.476,0.484,0.322,0.28,0.3,0.365
"WBSM.JiangConrath.nltk2018",0.295,0.329,0.311,0.492,0.476,0.484,0.321,0.279,0.299,0.365
