"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"bioc_skipgram_defaultchar.WhiteSpace",0.568236953740659,0.616255005643779,0.591272679160162,0.679332205536715,0.645055232854323,0.661750151542198,0.613099296377396,0.718980609254745,0.661831927318039,0.638284919340133
"BioWordVec_extrinsic.WhiteSpace",0.573602479855778,0.620206902919355,0.595995010042945,0.682416834185735,0.643078558070446,0.66216395212688,0.617569823375954,0.693975812435803,0.65354724717284,0.637235403114222
"BioWordVec_intrinsic.WhiteSpace",0.576927478235912,0.631562583352984,0.603010020757531,0.671508858271705,0.649947131451479,0.660552087352343,0.607213851953317,0.683540883812093,0.643120620093623,0.635560909401166
"stanford_skipgram_nonechar200dim.WhiteSpace",0.570109312714244,0.628267327545453,0.597777096573132,0.673859770040869,0.64239053915955,0.657748967606999,0.603407652903515,0.703472756242256,0.649609316591047,0.635045126923726
"BioNLP2016_PubMed.shuffle.win.30.WhiteSpace",0.549533867444661,0.606724668006643,0.576714883499012,0.702688553699901,0.646786487824003,0.673579647932505,0.593723981646207,0.692773142696121,0.639435597447397,0.629910042959638
"BioNLP2016_PubMed.shuffle.win.30.StanfordCoreNLPv3_9_1",0.545801077065258,0.602736625329156,0.572857640816671,0.704835551970468,0.648348037209662,0.675412782610698,0.593129058298458,0.691696106813627,0.638631732321784,0.628967385249718
"bioc_skipgram_defaultchar.StanfordCoreNLPv3_9_1",0.566657800846583,0.598844970390098,0.582306936274765,0.690522680008889,0.643724696458884,0.666302981630683,0.587567682713736,0.689246856471557,0.634358657183099,0.627656191696182
"stanf_skipgram_defaultchar200dim.WhiteSpace",0.54755210835516,0.596917215621524,0.57117001404874,0.674563193235375,0.643336651877965,0.658579979086094,0.597988426848654,0.703020230407142,0.646264664388454,0.625338219174429
"stanf_skipgram_defaultchar200dim.StanfordCoreNLPv3_9_1",0.571314170706909,0.597085894163774,0.583915805418455,0.689206036590881,0.645954500061611,0.666879717583174,0.571796652074144,0.681564894990304,0.621874073031031,0.624223198677553
"BioWordVec_extrinsic.StanfordCoreNLPv3_9_1",0.553762424378907,0.590290558604552,0.571443343416486,0.687289556877768,0.642940545484816,0.664375767500958,0.599490787220467,0.673385277065044,0.634293127472694,0.623370746130046
"bioc_skipgram_Nonechar200dim.WhiteSpace",0.550201581901863,0.607670472689974,0.577509844931763,0.66601530285057,0.638038032084299,0.651726554098387,0.588064893232412,0.700808830571399,0.639505736698583,0.622914045242911
"bioc_skipgram_Defaultchar200dim_8ene.WhiteSpace",0.545376346110873,0.592838809439261,0.568118008529651,0.675498129383267,0.641812269035498,0.658224496928154,0.592301858561193,0.699823275652877,0.641588985242831,0.622643830233545
"BioWordVec_extrinsic.BioCNLPTokenizer",0.580089839034485,0.625447986196414,0.601915616488649,0.589846758453029,0.628859758632198,0.608728820188653,0.617569823375954,0.693975812435803,0.65354724717284,0.621397227950047
"bioc_skipgram_defaultchar.BioCNLPTokenizer",0.578840787265916,0.62963482858441,0.603170333083459,0.556175857869603,0.631925160224128,0.591635749392672,0.613099296377396,0.718980609254745,0.661831927318039,0.618879336598057
"BioWordVec_intrinsic.BioCNLPTokenizer",0.584014671718881,0.6348096452913,0.608353708446204,0.57512569654268,0.63647304164743,0.604246257230221,0.607213851953317,0.683540883812093,0.643120620093623,0.618573528590016
"stanford_skipgram_nonechar200dim.StanfordCoreNLPv3_9_1",0.554165644638834,0.593682202150512,0.573243712022607,0.683603260599068,0.640971393304992,0.661601266674634,0.577985007811876,0.66759392217254,0.619566161619134,0.618137046772125
"BioWordVec_intrinsic.StanfordCoreNLPv3_9_1",0.556879134638053,0.586959157395111,0.571523632168441,0.677831716438595,0.650382081579506,0.663823253990824,0.586574316819908,0.65437431300553,0.618622167542438,0.617989684567234
"stanford_skipgram_nonechar200dim.BioCNLPTokenizer",0.577898254525212,0.63857479132367,0.606723278496043,0.5672306562076,0.629468171284647,0.596730999741706,0.603407652903515,0.703472756242256,0.649609316591047,0.617687864942932
"BioNLP2016_PubMed.shuffle.win.30.BioCNLPTokenizer",0.55364326126941,0.605911396463651,0.578599308521192,0.622024653268822,0.632565045332832,0.627250571930709,0.593723981646207,0.692773142696121,0.639435597447397,0.615095159299766
"bioc_skipgram_Defaultchar200dim_8ene.StanfordCoreNLPv3_9_1",0.542657816077487,0.565892412314792,0.554031622088843,0.685533187565478,0.640610902895106,0.662311188369216,0.572374229197506,0.673157184528208,0.618688248850454,0.611677019769504
"bioc_skipgram_Nonechar200dim.StanfordCoreNLPv3_9_1",0.53549737739257,0.575711913167214,0.554876965579358,0.673642478933629,0.636329793995086,0.654454737256109,0.569563501818754,0.668378218970324,0.615027076869931,0.608119593235133
"bioc_skipgram_Nonechar200dim.BioCNLPTokenizer",0.557789311711433,0.61673092010227,0.585781165989431,0.558634158539199,0.624980394790416,0.589947793333718,0.588064893232412,0.700808830571399,0.639505736698583,0.605078232007244
"stanf_skipgram_defaultchar200dim.BioCNLPTokenizer",0.555598401545842,0.604092077900809,0.578831332698952,0.553502280365192,0.631055375768946,0.589740124030352,0.597988426848654,0.703020230407142,0.646264664388454,0.604945373705919
"bioc_skipgram_Defaultchar200dim_8ene.BioCNLPTokenizer",0.555334590797199,0.603664357311532,0.578491808631053,0.559680106920919,0.629568301917398,0.592570655403004,0.592301858561193,0.699823275652877,0.641588985242831,0.604217149758963
"BioNLP2016_PubMed.shuffle.win.2.WhiteSpace",0.443485085791024,0.513168319394303,0.47578881738832,0.684877150404686,0.622280884528507,0.652080234459138,0.547579615555789,0.659070335822746,0.59817427697526,0.575347776274239
"BioNLP2016_PubMed.shuffle.win.2.StanfordCoreNLPv3_9_1",0.441134917205597,0.513318925235598,0.47449733347964,0.683659053675516,0.622887841813687,0.651860126797644,0.546700318607178,0.658206755522853,0.597293933581649,0.574550464619644
"BioNLP2016_PubMed.shuffle.win.2.BioCNLPTokenizer",0.448125291575799,0.517337089081344,0.480250372323685,0.589705860319658,0.607246920280356,0.59834786025708,0.547579615555789,0.659070335822746,0.59817427697526,0.558924169852008
