"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"bioc_skipgram_defaultchar.WhiteSpace",0.568,0.616,0.591,0.679,0.645,0.662,0.613,0.719,0.662,0.638
"BioWordVec_extrinsic.WhiteSpace",0.574,0.62,0.596,0.682,0.643,0.662,0.618,0.694,0.654,0.637
"BioWordVec_intrinsic.WhiteSpace",0.577,0.632,0.603,0.672,0.65,0.661,0.607,0.684,0.643,0.636
"stanford_skipgram_nonechar200dim.WhiteSpace",0.57,0.628,0.598,0.674,0.642,0.658,0.603,0.703,0.65,0.635
"BioNLP2016_PubMed.shuffle.win.30.WhiteSpace",0.55,0.607,0.577,0.703,0.647,0.674,0.594,0.693,0.639,0.63
"BioNLP2016_PubMed.shuffle.win.30.StanfordCoreNLPv3_9_1",0.546,0.603,0.573,0.705,0.648,0.675,0.593,0.692,0.639,0.629
"bioc_skipgram_defaultchar.StanfordCoreNLPv3_9_1",0.567,0.599,0.582,0.691,0.644,0.666,0.588,0.689,0.634,0.628
"stanf_skipgram_defaultchar200dim.WhiteSpace",0.548,0.597,0.571,0.675,0.643,0.659,0.598,0.703,0.646,0.625
"stanf_skipgram_defaultchar200dim.StanfordCoreNLPv3_9_1",0.571,0.597,0.584,0.689,0.646,0.667,0.572,0.682,0.622,0.624
"BioWordVec_extrinsic.StanfordCoreNLPv3_9_1",0.554,0.59,0.571,0.687,0.643,0.664,0.599,0.673,0.634,0.623
"bioc_skipgram_Nonechar200dim.WhiteSpace",0.55,0.608,0.578,0.666,0.638,0.652,0.588,0.701,0.64,0.623
"bioc_skipgram_Defaultchar200dim_8ene.WhiteSpace",0.545,0.593,0.568,0.675,0.642,0.658,0.592,0.7,0.642,0.623
"BioWordVec_extrinsic.BioCNLPTokenizer",0.58,0.625,0.602,0.59,0.629,0.609,0.618,0.694,0.654,0.621
"bioc_skipgram_defaultchar.BioCNLPTokenizer",0.579,0.63,0.603,0.556,0.632,0.592,0.613,0.719,0.662,0.619
"BioWordVec_intrinsic.BioCNLPTokenizer",0.584,0.635,0.608,0.575,0.636,0.604,0.607,0.684,0.643,0.619
"stanford_skipgram_nonechar200dim.StanfordCoreNLPv3_9_1",0.554,0.594,0.573,0.684,0.641,0.662,0.578,0.668,0.62,0.618
"BioWordVec_intrinsic.StanfordCoreNLPv3_9_1",0.557,0.587,0.572,0.678,0.65,0.664,0.587,0.654,0.619,0.618
"stanford_skipgram_nonechar200dim.BioCNLPTokenizer",0.578,0.639,0.607,0.567,0.629,0.597,0.603,0.703,0.65,0.618
"BioNLP2016_PubMed.shuffle.win.30.BioCNLPTokenizer",0.554,0.606,0.579,0.622,0.633,0.627,0.594,0.693,0.639,0.615
"bioc_skipgram_Defaultchar200dim_8ene.StanfordCoreNLPv3_9_1",0.543,0.566,0.554,0.686,0.641,0.662,0.572,0.673,0.619,0.612
"bioc_skipgram_Nonechar200dim.StanfordCoreNLPv3_9_1",0.535,0.576,0.555,0.674,0.636,0.654,0.57,0.668,0.615,0.608
"bioc_skipgram_Nonechar200dim.BioCNLPTokenizer",0.558,0.617,0.586,0.559,0.625,0.59,0.588,0.701,0.64,0.605
"stanf_skipgram_defaultchar200dim.BioCNLPTokenizer",0.556,0.604,0.579,0.554,0.631,0.59,0.598,0.703,0.646,0.605
"bioc_skipgram_Defaultchar200dim_8ene.BioCNLPTokenizer",0.555,0.604,0.578,0.56,0.63,0.593,0.592,0.7,0.642,0.604
"BioNLP2016_PubMed.shuffle.win.2.WhiteSpace",0.443,0.513,0.476,0.685,0.622,0.652,0.548,0.659,0.598,0.575
"BioNLP2016_PubMed.shuffle.win.2.StanfordCoreNLPv3_9_1",0.441,0.513,0.474,0.684,0.623,0.652,0.547,0.658,0.597,0.575
"BioNLP2016_PubMed.shuffle.win.2.BioCNLPTokenizer",0.448,0.517,0.48,0.59,0.607,0.598,0.548,0.659,0.598,0.559
