Human;Jaccard StanfordCoreNLPv3_9_1;Jaccard BioCNLPTokenizer;Jaccard WhiteSpace;Qgram StanfordCoreNLPv3_9_1;Qgram BioCNLPTokenizer;Qgram WhiteSpace;BlockDistance StanfordCoreNLPv3_9_1;BlockDistance BioCNLPTokenizer;BlockDistance WhiteSpace;OverlapCoefficient StanfordCoreNLPv3_9_1;OverlapCoefficient BioCNLPTokenizer;OverlapCoefficient WhiteSpace;Levenshtein StanfordCoreNLPv3_9_1;Levenshtein BioCNLPTokenizer;Levenshtein WhiteSpace
4.0;0.34782608695652173;0.34782608695652173;0.34782608695652173;0.5263157894736843;0.5263157894736843;0.5263157894736843;0.5161290168762207;0.5161290168762207;0.5161290168762207;0.6153846153846154;0.6153846153846154;0.6153846153846154;0.5596330275229358;0.5596330275229358;0.5596330275229358
3.0;0.15517241379310345;0.15517241379310345;0.15517241379310345;0.3705179282868526;0.3705179282868526;0.3705179282868526;0.25641024112701416;0.25641024112701416;0.25641024112701416;0.2903225806451613;0.2903225806451613;0.2903225806451613;0.2425373134328358;0.2425373134328358;0.2425373134328358
2.2;0.13953488372093023;0.13953488372093023;0.13953488372093023;0.25214899713467054;0.25214899713467054;0.25214899713467054;0.2222222089767456;0.2222222089767456;0.2222222089767456;0.2608695652173913;0.2608695652173913;0.2608695652173913;0.22988505747126442;0.22988505747126442;0.22988505747126442
3.2;0.21052631578947367;0.18181818181818182;0.18181818181818182;0.4464944649446494;0.4362934362934363;0.4362934362934363;0.31168830394744873;0.2816901206970215;0.2816901206970215;0.46153846153846156;0.4166666666666667;0.4166666666666667;0.34302325581395354;0.33231707317073167;0.33231707317073167
3.2;0.24242424242424243;0.24242424242424243;0.24242424242424243;0.3876404494382022;0.3876404494382022;0.3876404494382022;0.3404255509376526;0.3404255509376526;0.3404255509376526;0.4;0.4;0.4;0.3146067415730337;0.3146067415730337;0.3146067415730337
3.2;0.18604651162790697;0.18604651162790697;0.18604651162790697;0.3408521303258145;0.3408521303258145;0.3408521303258145;0.2950819730758667;0.2950819730758667;0.2950819730758667;0.32;0.32;0.32;0.2985781990521327;0.2985781990521327;0.2985781990521327
1.4;0.07317073170731707;0.07692307692307693;0.07692307692307693;0.13815789473684215;0.15540540540540537;0.15540540540540537;0.12000000476837158;0.125;0.125;0.16666666666666666;0.1875;0.1875;0.23369565217391308;0.2554347826086957;0.2554347826086957
3.0;0.125;0.125;0.125;0.30996309963099633;0.30996309963099633;0.30996309963099633;0.21621620655059814;0.21621620655059814;0.21621620655059814;0.2857142857142857;0.2857142857142857;0.2857142857142857;0.31176470588235294;0.31176470588235294;0.31176470588235294
1.4;0.11764705882352941;0.11764705882352941;0.12;0.19711538461538458;0.19711538461538458;0.19759036144578312;0.19354838132858276;0.19354838132858276;0.19672131538391113;0.23076923076923078;0.23076923076923078;0.24;0.25116279069767444;0.25116279069767444;0.24766355140186913
3.0;0.13043478260869565;0.13043478260869565;0.13043478260869565;0.2892156862745098;0.2892156862745098;0.2892156862745098;0.2539682388305664;0.2539682388305664;0.2539682388305664;0.3;0.3;0.3;0.2941176470588235;0.2941176470588235;0.2941176470588235
3.0;0.23809523809523808;0.23809523809523808;0.23809523809523808;0.3820754716981132;0.3820754716981132;0.3820754716981132;0.32786887884140015;0.32786887884140015;0.32786887884140015;0.5;0.5;0.5;0.3308823529411765;0.3308823529411765;0.3308823529411765
1.0;0.05405405405405406;0.05405405405405406;0.05405405405405406;0.13013698630136983;0.13013698630136983;0.13013698630136983;0.09090906381607056;0.09090906381607056;0.09090906381607056;0.2;0.2;0.2;0.19354838709677424;0.19354838709677424;0.19354838709677424
3.0;0.11764705882352941;0.11764705882352941;0.11764705882352941;0.23529411764705888;0.23529411764705888;0.23529411764705888;0.19999998807907104;0.19999998807907104;0.19999998807907104;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.2987012987012987;0.2987012987012987;0.2987012987012987
2.0;0.20454545454545456;0.20454545454545456;0.20454545454545456;0.37119113573407203;0.37119113573407203;0.37119113573407203;0.35087716579437256;0.35087716579437256;0.35087716579437256;0.375;0.375;0.375;0.2857142857142857;0.2857142857142857;0.2857142857142857
2.4;0.21428571428571427;0.21428571428571427;0.21428571428571427;0.38247011952191234;0.38247011952191234;0.38247011952191234;0.34285712242126465;0.34285712242126465;0.34285712242126465;0.42857142857142855;0.42857142857142855;0.42857142857142855;0.30625;0.30625;0.30625
3.4;0.2727272727272727;0.2727272727272727;0.25806451612903225;0.47017543859649125;0.47017543859649125;0.4593639575971732;0.45454543828964233;0.45454543828964233;0.4390243887901306;0.45;0.45;0.42105263157894735;0.4;0.4;0.3921568627450981
3.0;0.23809523809523808;0.25;0.25;0.3548387096774194;0.3571428571428571;0.3571428571428571;0.37288135290145874;0.38596493005752563;0.38596493005752563;0.4166666666666667;0.45454545454545453;0.45454545454545453;0.22282608695652173;0.2282608695652174;0.2282608695652174
2.0;0.12195121951219512;0.1282051282051282;0.13513513513513514;0.23717948717948723;0.23026315789473684;0.2295081967213115;0.23529410362243652;0.2448979616165161;0.25531917810440063;0.22727272727272727;0.25;0.2777777777777778;0.22560975609756095;0.22560975609756095;0.22560975609756095
3.2;0.28125;0.3;0.3;0.4658385093167702;0.47770700636942676;0.47770700636942676;0.4444444179534912;0.4651162624359131;0.4651162624359131;0.47368421052631576;0.47368421052631576;0.47368421052631576;0.34857142857142853;0.33532934131736525;0.33532934131736525
2.0;0.19047619047619047;0.1951219512195122;0.1951219512195122;0.3172413793103448;0.32018561484918795;0.32018561484918795;0.305084764957428;0.3103448152542114;0.3103448152542114;0.42105263157894735;0.42105263157894735;0.42105263157894735;0.29513888888888884;0.29929577464788737;0.29929577464788737
3.0;0.14814814814814814;0.14814814814814814;0.14814814814814814;0.32258064516129037;0.32258064516129037;0.32258064516129037;0.22857141494750977;0.22857141494750977;0.22857141494750977;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.28358208955223885;0.28358208955223885;0.28358208955223885
1.2;0.07142857142857142;0.07142857142857142;0.07142857142857142;0.1228070175438597;0.1228070175438597;0.1228070175438597;0.11764705181121826;0.11764705181121826;0.11764705181121826;0.18181818181818182;0.18181818181818182;0.18181818181818182;0.23376623376623373;0.23376623376623373;0.23376623376623373
3.4;0.3;0.2631578947368421;0.2631578947368421;0.4886877828054299;0.4832535885167464;0.4832535885167464;0.4262295365333557;0.3999999761581421;0.3999999761581421;0.5;0.45454545454545453;0.45454545454545453;0.4041666666666667;0.40086206896551724;0.40086206896551724
1.8;0.10526315789473684;0.1111111111111111;0.1111111111111111;0.30681818181818177;0.31547619047619047;0.31547619047619047;0.1702127456665039;0.1860465407371521;0.1860465407371521;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.3232323232323232;0.3131868131868132;0.3131868131868132
