"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"Qgram.WhiteSpace",0.715,0.752,0.733,0.711,0.698,0.705,0.741,0.771,0.756,0.731
"Qgram.BioCNLPTokenizer",0.715,0.752,0.733,0.692,0.68,0.686,0.741,0.771,0.756,0.725
"Qgram.StanfordCoreNLPv3_9_1",0.706,0.737,0.721,0.71,0.695,0.703,0.72,0.75,0.735,0.719
"Jaccard.WhiteSpace",0.71,0.755,0.732,0.683,0.672,0.677,0.693,0.72,0.706,0.705
"Jaccard.BioCNLPTokenizer",0.711,0.756,0.733,0.667,0.655,0.661,0.693,0.72,0.706,0.7
"BlockDistance.WhiteSpace",0.686,0.736,0.71,0.669,0.664,0.666,0.701,0.704,0.703,0.693
"BlockDistance.BioCNLPTokenizer",0.687,0.734,0.71,0.648,0.648,0.648,0.701,0.704,0.703,0.687
"Jaccard.StanfordCoreNLPv3_9_1",0.699,0.737,0.717,0.679,0.667,0.673,0.656,0.684,0.67,0.687
"BlockDistance.StanfordCoreNLPv3_9_1",0.67,0.709,0.689,0.667,0.662,0.664,0.664,0.669,0.666,0.673
"OverlapCoefficient.WhiteSpace",0.695,0.754,0.723,0.651,0.549,0.595,0.687,0.69,0.688,0.669
"OverlapCoefficient.BioCNLPTokenizer",0.696,0.752,0.723,0.637,0.538,0.583,0.687,0.69,0.688,0.665
"OverlapCoefficient.StanfordCoreNLPv3_9_1",0.684,0.739,0.71,0.65,0.546,0.594,0.65,0.662,0.656,0.653
"Levenshtein.WhiteSpace",0.51,0.52,0.515,0.589,0.628,0.608,0.455,0.47,0.462,0.528
"Levenshtein.BioCNLPTokenizer",0.516,0.524,0.52,0.575,0.613,0.593,0.455,0.47,0.462,0.525
"Levenshtein.StanfordCoreNLPv3_9_1",0.504,0.507,0.506,0.586,0.625,0.605,0.424,0.414,0.419,0.51
