"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"WBSM.Lin.WhiteSpace",0.709965369354687,0.759492632993495,0.733894356754302,0.738336214195188,0.688374689315863,0.712480658564373,0.719632076844803,0.719761165469933,0.719696615368862,0.722023876895846
"WBSM.Cai.WhiteSpace",0.709965369354687,0.759492632993495,0.733894356754302,0.738336214195188,0.688374689315863,0.712480658564373,0.719632076844803,0.719761165469933,0.719696615368862,0.722023876895846
"WBSM.Resnik.WhiteSpace",0.709965369354687,0.759492632993495,0.733894356754302,0.738336214195188,0.688374689315863,0.712480658564373,0.719632076844803,0.719761165469933,0.719696615368862,0.722023876895846
"WBSM.CosNormJConrath.WhiteSpace",0.709965369354687,0.759492632993495,0.733894356754302,0.738336214195188,0.688374689315863,0.712480658564373,0.719632076844803,0.719761165469933,0.719696615368862,0.722023876895846
"WBSM.Lin.BioCNLPTokenizer",0.71106083119632,0.760012926533189,0.73472240317131,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.716384957087015
"WBSM.Cai.BioCNLPTokenizer",0.71106083119632,0.760012926533189,0.73472240317131,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.716384957087015
"WBSM.Resnik.BioCNLPTokenizer",0.71106083119632,0.760012926533189,0.73472240317131,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.716384957087015
"WBSM.CosNormJConrath.BioCNLPTokenizer",0.71106083119632,0.760012926533189,0.73472240317131,0.718282654447656,0.672683874007507,0.694735852720872,0.719632076844803,0.719761165469933,0.719696615368862,0.716384957087015
"WBSM.Lin.StanfordCoreNLPv3_9_1",0.698102676396249,0.74783997497396,0.72211589795861,0.735872848931947,0.684281590925871,0.709140118361661,0.680319769131704,0.686937361867165,0.683612550759917,0.704956189026729
"WBSM.Cai.StanfordCoreNLPv3_9_1",0.698102676396249,0.74783997497396,0.72211589795861,0.735872848931947,0.684281590925871,0.709140118361661,0.680319769131704,0.686937361867165,0.683612550759917,0.704956189026729
"WBSM.Resnik.StanfordCoreNLPv3_9_1",0.698102676396249,0.74783997497396,0.72211589795861,0.735872848931947,0.684281590925871,0.709140118361661,0.680319769131704,0.686937361867165,0.683612550759917,0.704956189026729
"WBSM.CosNormJConrath.StanfordCoreNLPv3_9_1",0.698102676396249,0.74783997497396,0.72211589795861,0.735872848931947,0.684281590925871,0.709140118361661,0.680319769131704,0.686937361867165,0.683612550759917,0.704956189026729
"WBSM.JiangConrath.WhiteSpace",0.332386739558511,0.398419912176025,0.362420060816529,0.504111365565868,0.500642675306729,0.502371032994783,0.320240349132538,0.278987283415559,0.298193808802253,0.387661634204522
"WBSM.WuPalmerFast.WhiteSpace",0.329886052652246,0.397394597074152,0.360507144039759,0.504023883188428,0.500521671768228,0.502266672486488,0.320590276338452,0.278595576558187,0.298121300573719,0.386965039033322
"WBSM.JiangConrath.StanfordCoreNLPv3_9_1",0.338586771491206,0.403763423457326,0.368313916868119,0.493008626654065,0.487403143999781,0.49018986071526,0.320240349132538,0.278987283415559,0.298193808802253,0.385565862128544
"WBSM.WuPalmerFast.BioCNLPTokenizer",0.33601369275759,0.403834502847919,0.366815580198313,0.492964094139277,0.487540883669182,0.490237490912139,0.320590276338452,0.278595576558187,0.298121300573719,0.385058123894724
"WBSM.WuPalmerFast.StanfordCoreNLPv3_9_1",0.327814319079126,0.399980193373158,0.36031938271685,0.502618345609644,0.498866095643192,0.50073519137103,0.299863832040705,0.268547732106273,0.283343116553501,0.38146589688046
"WBSM.JiangConrath.BioCNLPTokenizer",0.33044878565885,0.398616896336389,0.36134595987833,0.502605107367589,0.498723223709283,0.500656641023115,0.299443350349576,0.266370960710773,0.281940599068947,0.381314399990131
