"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"WBSM.Lin.WhiteSpace",0.71,0.759,0.734,0.738,0.688,0.712,0.72,0.72,0.72,0.722
"WBSM.Cai.WhiteSpace",0.71,0.759,0.734,0.738,0.688,0.712,0.72,0.72,0.72,0.722
"WBSM.Resnik.WhiteSpace",0.71,0.759,0.734,0.738,0.688,0.712,0.72,0.72,0.72,0.722
"WBSM.CosNormJConrath.WhiteSpace",0.71,0.759,0.734,0.738,0.688,0.712,0.72,0.72,0.72,0.722
"WBSM.Lin.BioCNLPTokenizer",0.711,0.76,0.735,0.718,0.673,0.695,0.72,0.72,0.72,0.716
"WBSM.Cai.BioCNLPTokenizer",0.711,0.76,0.735,0.718,0.673,0.695,0.72,0.72,0.72,0.716
"WBSM.Resnik.BioCNLPTokenizer",0.711,0.76,0.735,0.718,0.673,0.695,0.72,0.72,0.72,0.716
"WBSM.CosNormJConrath.BioCNLPTokenizer",0.711,0.76,0.735,0.718,0.673,0.695,0.72,0.72,0.72,0.716
"WBSM.Lin.StanfordCoreNLPv3_9_1",0.698,0.748,0.722,0.736,0.684,0.709,0.68,0.687,0.684,0.705
"WBSM.Cai.StanfordCoreNLPv3_9_1",0.698,0.748,0.722,0.736,0.684,0.709,0.68,0.687,0.684,0.705
"WBSM.Resnik.StanfordCoreNLPv3_9_1",0.698,0.748,0.722,0.736,0.684,0.709,0.68,0.687,0.684,0.705
"WBSM.CosNormJConrath.StanfordCoreNLPv3_9_1",0.698,0.748,0.722,0.736,0.684,0.709,0.68,0.687,0.684,0.705
"WBSM.JiangConrath.WhiteSpace",0.332,0.398,0.362,0.504,0.501,0.502,0.32,0.279,0.298,0.388
"WBSM.WuPalmerFast.WhiteSpace",0.33,0.397,0.361,0.504,0.501,0.502,0.321,0.279,0.298,0.387
"WBSM.JiangConrath.StanfordCoreNLPv3_9_1",0.339,0.404,0.368,0.493,0.487,0.49,0.32,0.279,0.298,0.386
"WBSM.WuPalmerFast.BioCNLPTokenizer",0.336,0.404,0.367,0.493,0.488,0.49,0.321,0.279,0.298,0.385
"WBSM.WuPalmerFast.StanfordCoreNLPv3_9_1",0.328,0.4,0.36,0.503,0.499,0.501,0.3,0.269,0.283,0.381
"WBSM.JiangConrath.BioCNLPTokenizer",0.33,0.399,0.361,0.503,0.499,0.501,0.299,0.266,0.282,0.381
