insulin nph human novolin n 100 unitml suspension subcutaneous as directed by prescriber	insulin nph human novolin n 100 unitml suspension 6376 units subcutaneous as directed by prescriber
patient arrives ambulatory gait steady history obtained from patient patient appears comfortable patient cooperative alert skin warm	complex assessment performed patient arrives ambulatory gait steady history obtained from patient patient appears anxious in distress due to pain patient cooperative alert oriented to person place and time
peripheral iv site established in the right forearm using an 18 gauge catheter in one attempt	peripheral iv site present prior to arrival established in the right hand using a 20 gauge catheter
no new confusion or inability to stay alert and awake currently struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand sit vomit that looks like ground coffee vomiting blood uncontrollable or continuous rectal bleeding black sticky tarlike stools heavy vaginal bleeding or purple or red rashblotches that stay when pressed by a glass purpural rash	no new confusion or inability to stay alert and awake any chest pain or discomfort sudden currentand excruciating ripping or stabbing pain characteristic of a dissecting aortic aneurysm newly painful or blue toes on one side currently struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand sit vomit that looks like ground coffee vomiting blood uncontrollable or continuous rectal bleeding black sticky tarlike stools heavy vaginal bleeding or purple or red rashblotches that stay when pressed by a glass purpural rash
spent 15 minutes with the patient and greater than 50 of this time was spent counseling the patient regarding diagnosis and available treatment options	nurse visit ten minutes over half of which was spent in counseling and pointofcare testing
no new confusion or inability to stay alert and awake newly painful neck with difficulty bending the neck paralyzed face muscles or severe dizziness	no new confusion or inability to stay alert and awake or currently feeling like she is going to collapse every time she stands or sits up
no new confusion or inability to stay alert and awake struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand or sit up vomit that looks like ground coffee vomiting blood uncontrollable or continuous rectal bleeding black sticky tarlike stools heavy vaginal bleeding or purple or red rashblotches that stay when pressed by a glass purpuric rash	no new confusion or inability to stay alert and awake currently feeling like you are going to collapse every time you stand sit complete inability to swallow newly stiff or painful neck or purple or red rashblotches that stay when pressed by a glass purpural rash
cardiovascular assessment findings include heart rate normal heart rhythm atrial fibrillation with controlled ventricular response	cardiovascular assessment findings include heart rate bradycardic heart rhythm first degree av block
discussed the necessity of other members of the healthcare team both male and female participating in the procedure	this report represents the interpretation of the original data and tracings that are stored in the electronic records of the esophageal laboratory
negative gastrointestinal review of systems historian denies abdominal pain nausea vomiting	negative genitourinary review of systems historian denies dysuria hematuria urine output changes
given current medication regimen the following parameters should be monitored by outpatient providers none	given current medication regimen the following parameters should be monitored by outpatient providers lithium level
the risks and benefits of the procedure were discussed and the patient consented to this procedure	the content of this note has been reproduced signed by an authorized physician in the space above and mailed to the patients parents the patients home care company
no new confusion or inability to stay alert and awake currently feeling like you are going to collapse every time you stand sit complete inability to swallow newly painful neck with difficulty bending the neck purple or red rashblotches that stay when pressed by a glass purpural rash or pain pressure or tightness in the chest jaw or arm	no new confusion or inability to stay alert and awake struggling to breathe even while inactive or resting any chest pain or discomfort or feeling like you are going to pass out every time you stand or sit up
discussed goals risks alternatives advanced directives and the necessity of other members of the surgical team participating in the procedure with the patient	discussed risks goals alternatives advance directives and the necessity of other members of the healthcare team participating in the procedure with the patient and his mother
